image_path,final_caption
../data/chatheads/1.png,"1337mage43: Human, male, a beard, unnatural hair, a helmet, glasses, found in Unknown"
../data/chatheads/3.png,"1v1 Tournament Guide: Human, female, unnatural hair, glasses, found in Emir's Arena"
../data/chatheads/4.png,"50% Luke: Zombie, male, a mask, glasses, found in Braindeath Island"
../data/chatheads/8.png,"A'abla: Human, female, red hair, a hat, glasses, found in Emir's Arena"
../data/chatheads/9.png,"Abbot Langley: Human, male, a beard, glasses, found in Edgeville Monastery"
../data/chatheads/10.png,"Aberab: Monkey, male, a helmet, glasses, found in Ape Atoll"
../data/chatheads/11.png,"Abidor Crank: Human, male, a beard, found in Temple Trekking"
../data/chatheads/12.png,"Abigaila: Human, female, found in Lumbridge General Store"
../data/chatheads/13.png,"Abigale: Human, female, glasses, found in Lumbridge Swamp"
../data/chatheads/17.png,"Abyssal orphan: Abyssal demon, a goatee, red hair, a helmet, glasses, found in Font of Consumption"
../data/chatheads/19.png,"Abyssal protector: Abyssal creature, a goatee, unnatural hair, a hood, found in Rewards Guardian"
../data/chatheads/21.png,"Academic: Human, female, glasses, found in Grand Museum"
../data/chatheads/22.png,"Acatzin: Human, male, a goatee, a helmet, glasses, found in Tal Teklan , Ground floor of the King's Inn."
../data/chatheads/23.png,"Account Guide: Human, male, a mustache, found in Tutorial Island"
../data/chatheads/24.png,"Account security tutor: Human, male, a goatee, a helmet, glasses, found in Lumbridge"
../data/chatheads/25.png,"Achietties: Human, female, blonde hair, glasses, found in Just outside the Heroes' Guild"
../data/chatheads/26.png,"Achilka: Human, unnatural hair, glasses, found in Tlati Rainforest"
../data/chatheads/27.png,"Achtryn: Demon, male, a goatee, red hair, a hood, glasses, found in Canifis"
../data/chatheads/30.png,"Adala: Human, female, found in Villa Lucens"
../data/chatheads/32.png,"Adrinus: Human, a beard, glasses, found in Auburn Valley"
../data/chatheads/33.png,"Adrius: Human, male, a beard, a mask, glasses, found in Tower of Ascension"
../data/chatheads/34.png,"Adventurer: Human, male, a beard, brown hair, a helmet, glasses, found in Troll kitchen"
../data/chatheads/35.png,"Adventurer (easy): Human, male, a goatee, a helmet, glasses, found in Paterdomus"
../data/chatheads/36.png,"Adventurer Ada: Human, female, red hair, a hat, glasses, found in The Pandemonium"
../data/chatheads/37.png,"Adventurer Jon: Human, male, a beard, brown hair, a helmet, glasses, found in Lumbridge"
../data/chatheads/38.png,"Advisor: Gnome, male, glasses, found in Cutscene"
../data/chatheads/39.png,"Advisor Ghrim: Human, male, a beard, glasses, a cape, found in Miscellania castle"
../data/chatheads/40.png,"Aemad: Human, male, a goatee, found in East Ardougne"
../data/chatheads/41.png,"Aemilia: Human, female, brown hair, glasses, found in Auburnvale"
../data/chatheads/42.png,"Aeonisig Raispher: Human, male, a beard, a helmet, glasses, found in Varrock Palace"
../data/chatheads/43.png,"Afrah: Human, female, a helmet, glasses, found in Emir's Arena"
../data/chatheads/44.png,"Aga: Troll, female, a goatee, red hair, a helmet, glasses, found in Troll Stronghold"
../data/chatheads/45.png,"Agelus: a crown, glasses, found in Ortus Farm"
../data/chatheads/46.png,"Aggie: Human, female, unnatural hair, a hat, glasses, found in Draynor Village"
../data/chatheads/47.png,"Aggie: Human, unnatural hair, a hat, glasses, found in Blue Moon Inn"
