id_a,id_b,similarity,Name_a,Class_a,Location_a,Name_b,Class_b,Location_b
287,293,1.0000008,Banker,Human,Bank,Banker,Werewolf,Canifis
287,298,1.0000008,Banker,Human,Bank,Banker,Human,Draynor Village
287,317,1.0000008,Banker,Human,Bank,Banker,Human,Tutorial Island
287,1520,1.0000008,Banker,Human,Bank,Fry,Human,Rabbit Hole
298,1520,1.0000008,Banker,Human,Draynor Village,Fry,Human,Rabbit Hole
298,317,1.0000008,Banker,Human,Draynor Village,Banker,Human,Tutorial Island
293,298,1.0000008,Banker,Werewolf,Canifis,Banker,Human,Draynor Village
293,1520,1.0000008,Banker,Werewolf,Canifis,Fry,Human,Rabbit Hole
293,317,1.0000008,Banker,Werewolf,Canifis,Banker,Human,Tutorial Island
317,1520,1.0000008,Banker,Human,Tutorial Island,Fry,Human,Rabbit Hole
649,3111,1.0000007,Captain Wimto,Gnome,? (edit),Portobello,Gnome,
1996,3407,1.0000007,Hudon,Human,Baxtorian Falls,Sammy Servil,Human,Fight Arena prison
2588,4147,1.0000006,Marmor quo Narga,Kahlith,Mount Karuulm,Uurrak quo Narga,Kahlith,Mount Karuulm
2548,4226,1.0000006,Mallak quo Keran,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
2548,4225,1.0000006,Mallak quo Keran,Kahlith,Mount Karuulm,Vornas quo Maten,Kahlith,Mount Karuulm
2548,4147,1.0000006,Mallak quo Keran,Kahlith,Mount Karuulm,Uurrak quo Narga,Kahlith,Mount Karuulm
2548,2588,1.0000006,Mallak quo Keran,Kahlith,Mount Karuulm,Marmor quo Narga,Kahlith,Mount Karuulm
2461,2588,1.0000006,Lornor quo Narga,Kahlith,Mount Karuulm,Marmor quo Narga,Kahlith,Mount Karuulm
2461,4147,1.0000006,Lornor quo Narga,Kahlith,Mount Karuulm,Uurrak quo Narga,Kahlith,Mount Karuulm
2461,4225,1.0000006,Lornor quo Narga,Kahlith,Mount Karuulm,Vornas quo Maten,Kahlith,Mount Karuulm
