id,Name,chathead_filename_stem
2,1337sp34kr,BigRedJapan
5,? ? ? ?,?_?_?_?_(Unferth)
6,A floating table,Diango
14,Abyssal axon,Golem_(Desert_Treasure_II)
15,Abyssal guardian,Wizard_Persten
16,Abyssal leech,Wizard_Persten
18,Abyssal pathfinder,Lil'viathan
20,Abyssal walker,Wizard_Persten
28,Egg,Turael
31,Adamantite ore,Dumpy
51,Agitated bees,Bee_keeper_(Forestry)
55,Ahrim the Blighted,Konar_quo_Maten
60,Ak-Haranu,Captain_Emmemji
61,Akkha's Phantom,Maisa
104,Alpaca,Agelus
105,Alpaca cria,Agelus
111,Alvarg,Patty_Seer
125,Fossil Rock,Mazchna
126,Ammunition crate,Tiny_Tempor
136,Ancient Fungi,Chaeldar
144,Animated egg,Easter_Bunny
153,Anteater,Fabia
170,Araxxor,Turael
171,Araxyte,Weave
176,Archibald,Cecilia_(2021_Christmas_event)
212,Art,Da_Vinci
221,Ash,Burntmeat
225,Asleif Hamalsdotter,Hamal_the_Chieftain
248,Autumn Elemental,Apprentice
251,Man,Avan
252,Avatar of Creation,Nomad
253,Avatar of Destruction,Nomad
262,Ba-Ba's Phantom,Maisa
277,Balloon Animal,Bee_keeper
279,Banana,Meaty_Aura_Logist
347,Barricade,Lanthus
374,Bat,Mysterious_Stranger
375,Batt Mellamy,Arcis
376,Battle tortoise display,Aris
377,Bear Cub,Alwyn
389,Bee Swarm,Minimus
393,Bees,Achilka
402,Bench,Rat_Burgiss
419,Big fish,Cap'n_Hand
422,null[?],Historian_Aldo
428,Billy,"Banker_(Port_Piscarilius,_female)"
434,Black geist,Diango
451,Blasted ore,Operator_(1)
453,Blitzen,"Wise_Old_Man_(2017_Christmas_event,_santa)"
454,Blood Cloud,Maisa
455,Blood Totem,Golem_(Desert_Treasure_II)
457,Bloody Wave,Maisa
459,Blue geist,Diango
460,Blue h'ween Mask,Dommik
465,Blue partyhat,Dommik
466,Blue Sheep,Councillor_Halgrive
469,Boat,Meiyerditch_citizen_(19)
473,Bob,Auguste
497,Boulder,Mac
498,Boulder,Maisa
499,Boulder,Legends'_Guard
500,Boulder,Kree'arra
509,Branda the Fire Queen,Vannaka
523,Broav,Guardian_of_Armadyl_(messenger)
538,Brownie,Cap'n_Hand
545,Buffalo spirit,Ranulph
547,Bugs,Easter_Bunny
550,Buinn,Ajjat
555,Bunny ears,Dommik
559,Burning Orb,Maisa
567,Butterfly,Epic_mager34
568,Butterfly,Poison_Salesman
574,Cabbage Farmer,Antonia
582,Caerbannog,Easter_Bunny
584,Caique,Achilka
594,Camel display,Aris
600,CanYouCratchit,Guss_Mistletoad
647,Captain Tom,Gamer_(Rich)
650,Capybara,Fabia
674,Cat,Gregg
677,Cat,Angelo
678,Cat,Shipwright_Seb
681,Catalyst,Golem_(Desert_Treasure_II)
684,Cave Bug,Gary_(25th_Anniversary_event)
692,Cave snake,Captain_Rimor
702,Cerebral pathbreaker,Golem_(Desert_Treasure_II)
703,Cerebral pathfinder,Golem_(Desert_Treasure_II)
715,Chaos dwarf,Commander_Veldaban
728,Charmed Warrior,Entrance_Guardian
731,Cheerleader,Gnome_ball_referee
739,Chicken suit,Dommik
756,Chinchompa chum,Meaty_Aura_Logist
757,Chiribaya,Antonia
760,Chocolate Chicken,Easter_Bunny
761,Chocolate chicken,Easter_Bunny
763,Chocolate duck,Easter_Bunny
764,Chocolate snakeling,Easter_Bunny
765,Chocolate spider,Easter_Bunny
766,Chompy bird,Turael
772,Christmas cracker,Dommik
790,Clarence,Bella_Le_Bowle
791,Claude,Gamer_(Rich)
802,Clothears,Creakyknees
803,Clue turtle,Castaway_(Wilson)
805,Coal,Dumpy
816,Combat stone,Jacky_Jester
817,Combat stone,Jacky_Jester
818,Combat stone,Jacky_Jester
820,Comet,"Wise_Old_Man_(2017_Christmas_event,_santa)"
843,Cool Mom227,BigRedJapan
845,Copper ore,Dumpy
846,Core,Maisa
849,Cormorant,Alry_the_Angler
851,Corpse,Zealot
852,Corrupted scavenger,Captain_Rimor
866,Cow,Duke_Horacio
872,Crab,Bill_Teach
873,Crab,Alwyn
874,Crab,Tiny_Tempor
875,Cracked Jenny's Tea Cup,Parrot
878,Crate,Gertrude
880,Crawling Hand,Golem_(Desert_Treasure_II)
889,Crunchy,Party_Pete
891,Crust of ice,Lazim
892,Crystal Whirlwind,Edmond
893,Crystallised helm,Rum-dashed_Ralph
896,Cupid,"Wise_Old_Man_(2017_Christmas_event,_santa)"
899,Curly,Auguste
902,Current duck,Meaty_Aura_Logist
907,Cute Creature,Brimstail
924,Damien Leucurte,Mazchna
927,Dancer,"Wise_Old_Man_(2017_Christmas_event,_santa)"
936,Darkmeyer Slave,Mysterious_Stranger
942,Dasher,"Wise_Old_Man_(2017_Christmas_event,_santa)"
945,Dave,Da_Vinci
956,DeathlyFuture3,Guss_Mistletoad
964,Weakened Delrith,Aris
979,Desert eagle,Charlie
980,Desert Phoenix,Clay_golem
987,Mysterious ghost,Dhalak
988,Dharok the Wretched,Konar_quo_Maten
992,Dig Site workman,Barge_foreman
1002,Disk of Returning,Dommik
1009,Doe,Emem_Sharma
1010,Dog,Elstan
1011,Dog,Charles_(Fossil_Island)
1012,Dog,Alec_Kincade
1013,Doll,Captain_Tock
1029,Doom Scorpion,Minimus
1033,Door-support,Askeladden
1048,Dragon display,Aris
