id,type,Name,confidence
1574,body,Gemstone Crab Shell,0.9429776
960,body,Deckchair,0.93828917
4129,body,Unfinished Beehive,0.93354183
3811,body,Storm cloud,0.93063956
3810,body,Storm Cloud,0.93063956
3701,body,Smithing catalyst,0.9206149
3174,body,Pyramid block,0.91119957
1991,body,House,0.9021599
175,body,Archibald,0.8883372
4014,body,Tornado,0.8875629
878,body,Crate,0.88486606
1403,body,Fish,0.87336785
3161,body,Puffin,0.8732416
1133,body,Easter ring,0.85804516
4261,body,Weird snake.,0.8498989
3002,body,Pay-dirt,0.84549844
2184,body,Jury,0.8449453
2836,body,Nickel ore,0.8447447
4380,body,Yellow partyhat,0.842828
845,body,Copper ore,0.8355257
1392,body,Fire,0.83089936
2059,body,Innocent-looking key,0.8306973
3286,body,Resonance crystal,0.8279227
709,body,null[?],0.82159305
3013,body,Penguin display,0.82156837
1405,body,Fish,0.81076425
1696,body,Gold ore,0.803939
3019,body,Perfect gold ore,0.803939
1132,body,Easter egg bird,0.80337554
1904,body,Hats & scarves,0.80221343
3065,body,Pile of bones,0.80171746
3771,body,Spooky chair,0.7995407
685,body,Cave bug larva,0.7912476
4275,body,White partyhat,0.7873274
402,body,Bench,0.7852036
3469,body,Sea slugs display,0.7846832
3857,body,Suspicious crate,0.7811209
1238,body,Energy focus (white),0.7802288
1704,body,Goose,0.7798387
2984,body,Parrot,0.7684058
2471,body,Lost mahogany crate,0.76831734
1882,body,Hangman game,0.76683223
818,body,Combat stone,0.7661657
3850,body,Supporting Pillar,0.7647543
3845,body,Sunlight Moth,0.76075643
497,body,Boulder,0.75983757
499,body,Boulder,0.75983757
902,body,Current duck,0.75966007
817,body,Combat stone,0.7595623
3366,body,Runite ore,0.7552655
816,body,Combat stone,0.75471437
3953,body,Bed,0.75359553
2369,body,Leech display,0.7524491
3160,body,Puffin,0.74917835
1476,body,Fox trap,0.7476723
896,body,Cupid,0.7467129
4295,body,Wintertoad,0.74526274
479,body,Bobbing fossil,0.7381358
175,chathead,Archibald,0.73545206
3421,body,Santa hat,0.73461264
3710,body,Snake spirit,0.7330464
389,body,Bee Swarm,0.731308
2470,body,Lost ironwood crate,0.7268806
3714,body,Tiny snowball,0.72471726
2017,body,Iceberg,0.7229673
2734,body,Moonlight moth,0.7209669
205,body,Army Commander,0.7066276
1084,body,Duck,0.7054609
3707,body,Snail display,0.70529854
2616,body,Mayor of Catherby,0.70528036
1633,body,Giant clam,0.7035044
1528,body,Furnace grate,0.702703
1828,chathead,Gull,0.7022774
1497,body,Friendly Bees,0.7004243
51,body,Agitated bees,0.7004243
3615,body,Silver ore,0.6992148
31,body,Adamantite ore,0.69719243
2463,body,Lost camphor crate,0.6947574
3166,body,Purple partyhat,0.69452834
2067,body,Iron ore,0.6941623
2711,body,Mole display,0.6935469
3119,body,Prancer,0.6883792
1082,body,Duck,0.6852982
1130,body,Easter egg,0.67919296
1131,body,Easter egg,0.67919296
927,body,Dancer,0.6696438
454,body,Blood Cloud,0.65989983
2937,body,Orb of Darkness,0.6551289
1410,body,Fishbowl,0.6539611
1417,body,Fishing spot,0.6523208
453,body,Blitzen,0.64943606
1734,body,Green partyhat,0.648701
4133,body,Unstable ice,0.6480376
3033,body,Pet rock,0.6437798
969,body,Demonic larva,0.64154756
3190,chathead,Rabbit,0.6397477
4381,body,Yellow partyhat,0.6378439
2469,body,Lost casket (medium),0.63746756
1233,body,Enchanted Bucket,0.6351748
3255,body,Red partyhat,0.6347615
2476,body,Lost wooden crate,0.63395417
2699,body,Mithril ore,0.63376474
3769,body,Spirit pool,0.632565
3622,body,Sinco Doar,0.6292425
3306,chathead,Ricketty door,0.6269152
567,body,Butterfly,0.62619096
569,body,Butterfly,0.62619096
4024,body,Toucan,0.624461
464,body,Blue partyhat,0.62113386
2445,body,Looming shadow,0.62093246
1438,body,Fishing spot,0.61984164
2134,body,Jig cart,0.6183283
3109,body,Portal,0.6166164
4284,body,Will o' the wisp,0.61247295
484,body,Bonafido,0.61212677
1246,body,Ent trunk,0.6099259
2396,body,Light creature,0.6061798
2465,body,Lost casket (easy),0.6056994
582,body,Caerbannog,0.60496366
1002,body,Disk of Returning,0.604898
3919,body,Terrorbird display,0.60415775
1461,body,null[?],0.6034888
1053,body,Drake,0.60254496
498,body,Boulder,0.60198134
820,body,Comet,0.60095996
1125,body,Earthen shield,0.60001093
