id,Name,Released,Members,Race,Location,Leagueregion,Gender,Examine,NPC ID,Link,chathead_url,body_url,Options,lat,lon,Quest,Removal,Shop,Also called,Combat level,Respawn time,Size
0,,,,,,,,,,,,,,,,,,,,,,
1,1337mage43,24 July 2006 ( Update ),Yes,Human,Unknown,Fremennik ✓,Male,N/A,No,MOID,https://oldschool.runescape.wiki/images/1337mage43_chathead.png,,,,,,,,,,,
2,1337sp34kr,23 August 2005 ( Update ),No,Human,Draynor Village,Misthalin ✓,Male,A player.,2661,MOID,https://oldschool.runescape.wiki/images/thumb/BigRedJapan_chathead.png/23px-BigRedJapan_chathead.png,https://oldschool.runescape.wiki/images/1337sp34kr.png,"Walk here, Follow, Trade",,,,,,,,,
3,1v1 Tournament Guide,6 July 2022 ( Update ),No,Human,Emir's Arena,Desert ✓,Female,"Suzzy, your guide to 1v1 Tournaments.",11672,MOID,https://oldschool.runescape.wiki/images/1v1_Tournament_Guide_chathead.png,https://oldschool.runescape.wiki/images/1v1_Tournament_Guide.png,Talk-to,3268,3367,,,,,,,
4,50% Luke,31 October 2005 ( Update ),Yes,Zombie,Braindeath Island,Morytania ✓,Male,"Most of an angry, undead sea scoundrel.",604,MOID,https://oldschool.runescape.wiki/images/50%25_Luke_chathead.png,https://oldschool.runescape.wiki/images/50%25_Luke.png,Talk-to,5096,2121,Rum Deal,,,,,,
5,? ? ? ?,15 March 2006 ( Update ),Yes,Human,Wizards' Tower,Misthalin ✓,Male,Who could this be?,1182,MOID,https://oldschool.runescape.wiki/images/%3F_%3F_%3F_%3F_%28Unferth%29_chathead.png,https://oldschool.runescape.wiki/images/%3F_%3F_%3F_%3F_%28Unferth%29.png,,,,Recipe for Disaster,,,,,,
6,A floating table,24 October 2013 ( Update ),Yes,Ghost,Diango's Workshop,N/A,,An otherwordly xylophone.,hist6479,MOID,https://oldschool.runescape.wiki/images/thumb/Diango_chathead.png/35px-Diango_chathead.png,https://oldschool.runescape.wiki/images/A_floating_table.png,Spray,,,,7 November 2013 ( Update ),,,,,
7,A pile of broken glass,24 October 2005 ( Update ),Yes,,Between Rimmington and Port Sarim,Asgarnia ✓,,It looks like some broken bottles,2591,MOID,,https://oldschool.runescape.wiki/images/A_pile_of_broken_glass.png,,3192,2981,,,,,,,
8,A'abla,25 March 2004 ( Update ),No,Human,Emir's Arena,Desert ✓,Female,Trained to deal with all sorts of injuries.,3341,MOID,https://oldschool.runescape.wiki/images/A%27abla_chathead.png,https://oldschool.runescape.wiki/images/A%27abla.png,"Talk-to, Heal",3276,3359,,,,,,,
9,Abbot Langley,12 July 2001 ( Update ),No,Human,Edgeville Monastery,Asgarnia ✓,Male,A holy man.,2577,MOID,https://oldschool.runescape.wiki/images/Abbot_Langley_chathead.png,https://oldschool.runescape.wiki/images/Abbot_Langley.png,Talk-to,3490,3052,,,,,,,
