id,Name,Class,Gender,facial_hair,facial_hair_conf,hair_color,hair_color_conf,headwear,headwear_conf,eyewear,eyewear_conf,eyes,eyes_conf,skin_tone,skin_tone_conf,apparent_age,apparent_age_conf,held_weapon,held_weapon_conf,cape,cape_conf,wings,wings_conf,body_build,body_build_conf,caption
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1337mage43,Human,Male,beard,0.4048733,unnatural,0.5525636,helmet,0.4017451,glasses_or_goggles,0.81995636,not_visible,0.6367983,green,0.43607685,child,0.59899616,,,,,,,,,"1337mage43: Human, male, a beard, unnatural hair, a helmet, glasses"
2,1337sp34kr,Human,Male,,,,,,,,,,,,,,,tool,0.742154,none,0.9086027,none,0.8769162,average,0.47565416,"1337sp34kr: Human, male"
3,1v1 Tournament Guide,Human,Female,clean_shaven,0.60467887,unnatural,0.6358759,none,0.37823802,glasses_or_goggles,0.75833696,not_visible,0.63478965,blue_purple,0.5433303,child,0.68198025,bow,0.4314905,none,0.80227035,none,0.82606214,heavy,0.5063616,"1v1 Tournament Guide: Human, female, unnatural hair, glasses"
4,50% Luke,Zombie,Male,clean_shaven,0.32717398,bald,0.96503574,mask,0.6989616,glasses_or_goggles,0.73368967,not_visible,0.70114285,red,0.29002264,child,0.48082688,tool,0.74551404,none,0.8054682,none,0.9127145,heavy,0.44556153,"50% Luke: Zombie, male, a mask, glasses"
5,? ? ? ?,Human,Male,,,,,,,,,,,,,,,tool,0.5970463,none,0.92483443,none,0.9564304,heavy,0.51237655,"? ? ? ?: Human, male"
6,A floating table,Ghost,,,,,,,,,,,,,,,,tool,0.5659689,none,0.81323403,none,0.8706037,thin,0.5500366,A floating table: Ghost
7,A pile of broken glass,,,,,,,,,,,,,,,,,none,0.5575805,none,0.6392567,none,0.6651426,thin,0.6253661,A pile of broken glass
8,A'abla,Human,Female,clean_shaven,0.50304073,red,0.5963993,hat,0.34898496,glasses_or_goggles,0.7780323,not_visible,0.7045306,red,0.71766573,child,0.78229946,staff_wand,0.3387485,none,0.80844086,none,0.8766238,heavy,0.38003924,"A'abla: Human, female, red hair, a hat, glasses"
9,Abbot Langley,Human,Male,beard,0.45690334,bald,0.9014815,none,0.6333479,glasses_or_goggles,0.57123506,not_visible,0.6438143,red,0.54010093,elderly,0.61795807,staff_wand,0.40001664,none,0.71023476,none,0.910354,average,0.45067295,"Abbot Langley: Human, male, a beard, glasses"
10,Aberab,Monkey,Male,,,,,helmet,0.41051075,glasses_or_goggles,0.6237995,not_visible,0.72704124,red,0.7050561,,,,,,,none,0.87898433,,,"Aberab: Monkey, male, a helmet, glasses"
11,Abidor Crank,Human,Male,beard,0.31624803,bald,0.85187083,none,0.5667122,none,0.5505267,not_visible,0.6076838,human_tone,0.5382336,young_adult,0.52341557,staff_wand,0.43095735,none,0.734038,none,0.92911196,average,0.5287705,"Abidor Crank: Human, male, a beard"
12,Abigaila,Human,Female,clean_shaven,0.6415597,bald,0.7473717,none,0.7603854,none,0.78853613,not_visible,0.5560455,green,0.33261612,young_adult,0.55276406,tool,0.6522637,none,0.9388017,none,0.8809394,heavy,0.5533002,"Abigaila: Human, female"
13,Abigale,Human,Female,clean_shaven,0.5538988,bald,0.48980716,none,0.73946106,glasses_or_goggles,0.53907233,not_visible,0.6853642,red,0.6873654,child,0.4909844,staff_wand,0.3752424,none,0.70600754,none,0.88439566,heavy,0.42608827,"Abigale: Human, female, glasses"
14,Abyssal axon,,,,,,,,,,,,,,,,,staff_wand,0.32920945,none,0.7019246,wings,0.6823563,thin,0.67923313,Abyssal axon: wings
15,Abyssal guardian,Abyssal creature,,,,,,,,,,,,,,,,melee_weapon,0.47815397,none,0.5029979,none,0.84814346,thin,0.6611746,Abyssal guardian: Abyssal creature
16,Abyssal leech,Abyssal creature,,,,,,,,,,,,,,,,staff_wand,0.3800502,none,0.674097,wings,0.6875194,thin,0.7202082,"Abyssal leech: Abyssal creature, wings"
17,Abyssal orphan,Abyssal demon,,goatee,0.5224126,red,0.4432581,helmet,0.549673,glasses_or_goggles,0.8004596,not_visible,0.69152594,red,0.93434143,child,0.68873245,bow,0.5236336,none,0.87831104,none,0.5571169,thin,0.5376055,"Abyssal orphan: Abyssal demon, a goatee, red hair, a helmet, glasses"
18,Abyssal pathfinder,,,,,,,,,,,,,,,,,none,0.3786125,none,0.9753703,none,0.836626,thin,0.46942753,Abyssal pathfinder
19,Abyssal protector,Abyssal creature,,goatee,0.27841425,unnatural,0.64254177,hood,0.4609881,none,0.7514665,not_visible,0.57224834,blue_purple,0.7447946,young_adult,0.5663982,melee_weapon,0.39929286,none,0.6018294,none,0.82817584,thin,0.7038,"Abyssal protector: Abyssal creature, a goatee, unnatural hair, a hood"
20,Abyssal walker,Abyssal creature,,,,,,,,,,,,,,,,bow,0.34736735,none,0.6415176,none,0.79071504,thin,0.6598809,Abyssal walker: Abyssal creature
21,Academic,Human,Female,clean_shaven,0.70713925,bald,0.41934937,none,0.5567134,glasses_or_goggles,0.5371808,not_visible,0.6456141,red,0.42994866,young_adult,0.47004157,staff_wand,0.39935556,none,0.62648755,none,0.85393226,heavy,0.4761554,"Academic: Human, female, glasses"
22,Acatzin,Human,Male,goatee,0.40737876,bald,0.64703435,helmet,0.658431,glasses_or_goggles,0.78794366,not_visible,0.60080504,blue_purple,0.6709846,child,0.7538656,tool,0.3225044,none,0.9231301,none,0.886417,heavy,0.4681283,"Acatzin: Human, male, a goatee, a helmet, glasses"
23,Account Guide,Human,Male,mustache,0.31788298,bald,0.8191101,none,0.67164433,none,0.53701866,not_visible,0.60582596,red,0.4512743,elderly,0.93362474,staff_wand,0.51111436,none,0.9209422,none,0.9527622,average,0.57088864,"Account Guide: Human, male, a mustache"
24,Account security tutor,Human,Male,goatee,0.43533292,bald,0.7207352,helmet,0.42462218,glasses_or_goggles,0.5988287,not_visible,0.6148032,red,0.55764794,child,0.6277413,melee_weapon,0.48029107,none,0.90295917,none,0.9197703,heavy,0.3977976,"Account security tutor: Human, male, a goatee, a helmet, glasses"
25,Achietties,Human,Female,clean_shaven,0.56708616,blonde,0.5005316,none,0.7459097,glasses_or_goggles,0.5184614,not_visible,0.6461047,red,0.6853892,child,0.5052647,melee_weapon,0.56036824,none,0.8947778,none,0.8121115,heavy,0.56330514,"Achietties: Human, female, blonde hair, glasses"
26,Achilka,Human,,clean_shaven,0.5336232,unnatural,0.65168035,none,0.4075605,glasses_or_goggles,0.627506,not_visible,0.48558336,red,0.2938891,young_adult,0.5567549,staff_wand,0.3596762,none,0.75805545,none,0.81812686,average,0.3784438,"Achilka: Human, unnatural hair, glasses"
27,Achtryn,Demon,Male,goatee,0.33040023,red,0.45135957,hood,0.46153885,glasses_or_goggles,0.7361565,not_visible,0.63087684,red,0.95246434,child,0.67834234,tool,0.6432029,none,0.89549196,none,0.9064454,average,0.38627213,"Achtryn: Demon, male, a goatee, red hair, a hood, glasses"
28,Egg,Araxyte,,,,,,,,,,,,,,,,none,0.46851596,none,0.51716506,none,0.8322566,thin,0.42040393,Egg: Araxyte
29,Acorn,Twisted Bow,,,,,,,,,,,,,,,,melee_weapon,0.5425838,none,0.80617785,none,0.60235035,thin,0.54008,Acorn: Twisted Bow
30,Adala,Human,Female,clean_shaven,0.53090596,bald,0.54243743,none,0.5745702,none,0.58861345,not_visible,0.6667705,red,0.5330528,child,0.5113663,staff_wand,0.4502827,none,0.61668205,none,0.88929605,heavy,0.4068168,"Adala: Human, female"
31,Adamantite ore,,,,,,,,,,,,,,,,,,,,,,,,,Adamantite ore
32,Adrinus,Human,,beard,0.9546123,bald,0.62253183,none,0.36017838,glasses_or_goggles,0.50966525,not_visible,0.766459,red,0.63211626,child,0.70064473,tool,0.30251467,none,0.83592904,none,0.89769214,heavy,0.46974525,"Adrinus: Human, a beard, glasses"
33,Adrius,Human,Male,beard,0.82814765,bald,0.3912043,mask,0.4311119,glasses_or_goggles,0.7810108,not_visible,0.5816148,red,0.8228457,child,0.64041096,tool,0.34171167,none,0.8089416,none,0.9413315,heavy,0.4918845,"Adrius: Human, male, a beard, a mask, glasses"
34,Adventurer,Human,Male,beard,0.38195047,brown,0.35758433,helmet,0.36735806,glasses_or_goggles,0.78807396,not_visible,0.6648426,red,0.52706915,child,0.68440527,tool,0.41178074,none,0.87495404,none,0.9268967,heavy,0.59725845,"Adventurer: Human, male, a beard, brown hair, a helmet, glasses"
35,Adventurer (easy),Human,Male,goatee,0.35847312,bald,0.37567154,helmet,0.3472067,glasses_or_goggles,0.7213431,not_visible,0.52786934,blue_purple,0.7536787,child,0.7345204,tool,0.5504388,none,0.85602707,none,0.9050122,heavy,0.54699993,"Adventurer (easy): Human, male, a goatee, a helmet, glasses"
36,Adventurer Ada,Human,Female,clean_shaven,0.41042286,red,0.6297494,hat,0.27033314,glasses_or_goggles,0.69645774,not_visible,0.518167,red,0.31343585,child,0.6128408,tool,0.4669181,none,0.8794626,none,0.92836916,heavy,0.45445842,"Adventurer Ada: Human, female, red hair, a hat, glasses"
37,Adventurer Jon,Human,Male,beard,0.44199592,brown,0.4632892,helmet,0.5634915,glasses_or_goggles,0.74560356,not_visible,0.6879285,red,0.62028337,child,0.638888,tool,0.8123489,none,0.9343141,none,0.832349,average,0.3831805,"Adventurer Jon: Human, male, a beard, brown hair, a helmet, glasses"
38,Advisor,Gnome,Male,clean_shaven,0.55969834,bald,0.89512086,none,0.7009046,glasses_or_goggles,0.528484,not_visible,0.6971978,red,0.51741207,child,0.589801,staff_wand,0.4885104,none,0.89316773,none,0.94772077,average,0.36548817,"Advisor: Gnome, male, glasses"
