id,type,Name,confidence,decision
1574,body,Gemstone Crab Shell,0.9429776,remove
960,body,Deckchair,0.93828917,remove
4129,body,Unfinished Beehive,0.93354183,remove
3811,body,Storm cloud,0.93063956,remove
3810,body,Storm Cloud,0.93063956,remove
3701,body,Smithing catalyst,0.9206149,remove
3174,body,Pyramid block,0.91119957,remove
1991,body,House,0.9021599,remove
175,body,Archibald,0.8883372,remove
4014,body,Tornado,0.8875629,remove
878,body,Crate,0.88486606,remove
1403,body,Fish,0.87336785,remove
3161,body,Puffin,0.8732416,remove
1133,body,Easter ring,0.85804516,remove
4261,body,Weird snake.,0.8498989,remove
3002,body,Pay-dirt,0.84549844,remove
2184,body,Jury,0.8449453,remove
2836,body,Nickel ore,0.8447447,remove
4380,body,Yellow partyhat,0.842828,remove
845,body,Copper ore,0.8355257,remove
1392,body,Fire,0.83089936,remove
2059,body,Innocent-looking key,0.8306973,remove
3286,body,Resonance crystal,0.8279227,remove
709,body,null[?],0.82159305,remove
3013,body,Penguin display,0.82156837,remove
1405,body,Fish,0.81076425,remove
1696,body,Gold ore,0.803939,remove
3019,body,Perfect gold ore,0.803939,remove
1132,body,Easter egg bird,0.80337554,remove
1904,body,Hats & scarves,0.80221343,remove
3065,body,Pile of bones,0.80171746,remove
3771,body,Spooky chair,0.7995407,remove
685,body,Cave bug larva,0.7912476,remove
4275,body,White partyhat,0.7873274,remove
402,body,Bench,0.7852036,remove
3469,body,Sea slugs display,0.7846832,remove
3857,body,Suspicious crate,0.7811209,remove
1238,body,Energy focus (white),0.7802288,remove
1704,body,Goose,0.7798387,remove
2984,body,Parrot,0.7684058,remove
2471,body,Lost mahogany crate,0.76831734,remove
1882,body,Hangman game,0.76683223,remove
818,body,Combat stone,0.7661657,remove
3850,body,Supporting Pillar,0.7647543,remove
3845,body,Sunlight Moth,0.76075643,remove
497,body,Boulder,0.75983757,remove
499,body,Boulder,0.75983757,remove
902,body,Current duck,0.75966007,remove
817,body,Combat stone,0.7595623,remove
3366,body,Runite ore,0.7552655,remove
816,body,Combat stone,0.75471437,remove
3953,body,Bed,0.75359553,remove
2369,body,Leech display,0.7524491,remove
3160,body,Puffin,0.74917835,remove
1476,body,Fox trap,0.7476723,remove
896,body,Cupid,0.7467129,remove
4295,body,Wintertoad,0.74526274,remove
479,body,Bobbing fossil,0.7381358,remove
175,chathead,Archibald,0.73545206,remove
3421,body,Santa hat,0.73461264,remove
3710,body,Snake spirit,0.7330464,remove
389,body,Bee Swarm,0.731308,remove
2470,body,Lost ironwood crate,0.7268806,remove
3714,body,Tiny snowball,0.72471726,remove
2017,body,Iceberg,0.7229673,remove
2734,body,Moonlight moth,0.7209669,remove
3136,chathead,Prince Itzla Arkan,0.71772027,keep
205,body,Army Commander,0.7066276,remove
1084,body,Duck,0.7054609,remove
3707,body,Snail display,0.70529854,remove
2616,body,Mayor of Catherby,0.70528036,remove
1633,body,Giant clam,0.7035044,remove
1528,body,Furnace grate,0.702703,remove
1828,chathead,Gull,0.7022774,remove
1497,body,Friendly Bees,0.7004243,remove
51,body,Agitated bees,0.7004243,remove
3615,body,Silver ore,0.6992148,remove
31,body,Adamantite ore,0.69719243,remove
2463,body,Lost camphor crate,0.6947574,remove
3166,body,Purple partyhat,0.69452834,remove
2067,body,Iron ore,0.6941623,remove
2711,body,Mole display,0.6935469,remove
3119,body,Prancer,0.6883792,remove
1082,body,Duck,0.6852982,remove
1130,body,Easter egg,0.67919296,remove
1131,body,Easter egg,0.67919296,remove
927,body,Dancer,0.6696438,remove
454,body,Blood Cloud,0.65989983,remove
2937,body,Orb of Darkness,0.6551289,remove
1410,body,Fishbowl,0.6539611,remove
1417,body,Fishing spot,0.6523208,remove
453,body,Blitzen,0.64943606,remove
1734,body,Green partyhat,0.648701,remove
4133,body,Unstable ice,0.6480376,remove
981,chathead,Desert Spirit,0.6440299,keep
3033,body,Pet rock,0.6437798,remove
969,body,Demonic larva,0.64154756,remove
3190,chathead,Rabbit,0.6397477,remove
4381,body,Yellow partyhat,0.6378439,remove
2469,body,Lost casket (medium),0.63746756,remove
49,body,Agility Instructor,0.6352673,keep
1233,body,Enchanted Bucket,0.6351748,remove
3255,body,Red partyhat,0.6347615,remove
2476,body,Lost wooden crate,0.63395417,remove
2699,body,Mithril ore,0.63376474,remove
3769,body,Spirit pool,0.632565,remove
3622,body,Sinco Doar,0.6292425,remove
3306,chathead,Ricketty door,0.6269152,remove
567,body,Butterfly,0.62619096,remove
569,body,Butterfly,0.62619096,remove
4024,body,Toucan,0.624461,remove
464,body,Blue partyhat,0.62113386,remove
2445,body,Looming shadow,0.62093246,remove
1438,body,Fishing spot,0.61984164,remove
2134,body,Jig cart,0.6183283,remove
3109,body,Portal,0.6166164,remove
4284,body,Will o' the wisp,0.61247295,remove
484,body,Bonafido,0.61212677,remove
1246,body,Ent trunk,0.6099259,remove
2396,body,Light creature,0.6061798,remove
2465,body,Lost casket (easy),0.6056994,remove
582,body,Caerbannog,0.60496366,remove
1002,body,Disk of Returning,0.604898,remove
3919,body,Terrorbird display,0.60415775,remove
1461,body,null[?],0.6034888,remove
1053,body,Drake,0.60254496,remove
498,body,Boulder,0.60198134,remove
820,body,Comet,0.60095996,remove
1125,body,Earthen shield,0.60001093,remove
